13/11 2016 || 16:15:44 || {img_2.pbm}
13/11 2016 || 16:15:52 || {5x3}
13/11 2016 || 16:15:56 || {}
13/11 2016 || 16:21:7 || {img_3.pbm}
13/11 2016 || 16:21:11 || {5x2}
13/11 2016 || 16:27:32 || {5x2}
13/11 2016 || 16:29:13 || {5x2}
13/11 2016 || 16:31:53 || {5x2}
13/11 2016 || 16:34:47 || {5x2}
13/11 2016 || 16:35:21 || {5x2}
13/11 2016 || 16:38:15 || {5x2}
13/11 2016 || 16:38:20 || {5x2}
13/11 2016 || 16:50:21 || {5x2}
13/11 2016 || 16:50:27 || {5x2}
13/11 2016 || 16:51:48 || {4422x}
13/11 2016 || 16:52:59 || {4425x948652272x}
13/11 2016 || 16:53:23 || {5x2}
13/11 2016 || 16:58:5 || {3622x}
13/11 2016 || 16:59:45 || {3659--474427792x}
13/11 2016 || 17:0:13 || {5x2}
13/11 2016 || 17:0:47 || {7x2}
13/11 2016 || 17:0:57 || {4022x}
13/11 2016 || 17:1:24 || {5x2}
13/11 2016 || 17:1:39 || {8x2}
13/11 2016 || 17:3:13 || {5x2}
13/11 2016 || 17:3:30 || {1422x}
13/11 2016 || 17:4:45 || {5x2}
13/11 2016 || 17:5:26 || {343x2}
13/11 2016 || 17:5:46 || {344x2}
13/11 2016 || 17:5:55 || {346x2}
13/11 2016 || 17:6:12 || {370x2}
